"make_model","city_mpg","hwy_mpg","eng_type","torque","hp","cyl","displacement","drivetrain","transmission","weight"
Mercedes-Benz SLK250 convertibl,22,32,Gas,229,201,4,1.8,RWD,Manual,3241
Mercedes-Benz SLK350 convertible,21,29,Gas,273,302,6,3.5,RWD,Auto,3417
Mercedes-Benz SLK55 AMG convertible,19,28,Gas,398,415,8,5.5,RWD,Auto,3583
Mercedes-Benz SLS AMG Black Series 2d,13,17,Gas,468,622,8,6.3,RWD,Auto,3616
Mercedes-Benz SLS AMG GT 2d,13,19,Gas,479,583,8,6.3,RWD,Auto,3726
Mercedes-Benz SLS AMG GT convertibl,13,19,Gas,479,583,8,6.3,RWD,Auto,3792
Mitsubishi Lancer Evolution GSR AWD 4d,17,23,Gas,300,291,4,2.0,AWD,Manual,3527
Mitsubishi Lancer Evolution MR AWD 4dr,17,22,Gas,300,291,4,2.0,AWD,Auto,3527
Nissan 370Z 2dr,19,26,Gas,270,332,6,3.7,RWD,Auto,3309
Nissan 370Z 2d,18,26,Gas,270,332,6,3.7,RWD,Manual,3272
Nissan 370Z convertible,18,25,Gas,270,332,6,3.7,RWD,Auto,3470
Nissan 370Z NISMO 2d,18,26,Gas,276,350,6,3.7,RWD,Manual,3340
Nissan 370Z Touring 2dr,19,26,Gas,270,332,6,3.7,RWD,Auto,3353
Nissan 370Z Touring 2d,18,26,Gas,270,332,6,3.7,RWD,Manual,3318
Nissan 370Z Touring convertible,18,25,Gas,270,332,6,3.7,RWD,Auto,3510
Nissan 370Z Touring convertibl,17,25,Gas,270,332,6,3.7,RWD,Manual,3488
Nissan GT-R Black Edition 2dr,16,23,Gas,463,545,6,3.8,AWD,Auto,3818
Nissan GT-R Premium 2dr,16,23,Gas,463,545,6,3.8,AWD,Auto,3829
Nissan GT-R Track Edition 2dr (Limited Edition,16,23,Gas,463,545,6,3.8,AWD,Auto,3796
Porsche 911 50th Anniversary Edition RWD 2d,19,27,Gas,325,430,6,3.8,RWD,Manual,3109
Porsche 911 Carrera 4 AWD 2d,19,27,Gas,287,350,6,3.4,AWD,Manual,3153
Porsche 911 Carrera 4 AWD convertibl,19,26,Gas,287,350,6,3.4,AWD,Manual,3307
Porsche 911 Carrera 4S AWD 2d,18,26,Gas,325,400,6,3.8,AWD,Manual,3186
Porsche 911 Carrera 4S AWD convertibl,18,26,Gas,325,400,6,3.8,AWD,Manual,3340
Porsche 911 Carrera RWD 2d,19,27,Gas,287,350,6,3.4,RWD,Manual,3042
Porsche 911 Carrera RWD convertibl,19,27,Gas,287,350,6,3.4,RWD,Manual,3197
Porsche 911 Carrera S RWD 2d,19,27,Gas,325,400,6,3.8,RWD,Manual,3075
Porsche 911 Carrera S RWD convertibl,19,27,Gas,325,400,6,3.8,RWD,Manual,3230
Porsche 911 GT3 RWD 2dr,15,20,Gas,325,475,6,3.8,RWD,Auto,3153
Porsche 911 Turbo AWD 2dr,17,24,Gas,487,520,6,3.8,AWD,Auto,3516
Porsche 911 Turbo S AWD 2dr,17,24,Gas,516,560,6,3.8,AWD,Auto,3538
Porsche Boxster convertibl,20,30,Gas,206,265,6,2.7,RWD,Manual,2888
Porsche Boxster S convertibl,20,28,Gas,266,315,6,3.4,RWD,Manual,2910
Porsche Cayman 2d,20,30,Gas,213,275,6,2.7,RWD,Manual,2888
Porsche Cayman S 2d,20,28,Gas,273,325,6,3.4,RWD,Manual,2910
Scion FR-S 2dr,25,34,Gas,151,200,4,2.0,RWD,Auto,2806
Scion FR-S 2d,22,30,Gas,151,200,4,2.0,RWD,Manual,2758
SRT Viper 2d,12,19,Gas,600,640,10,8.4,RWD,Manual,3200
SRT Viper GTS 2d,12,19,Gas,600,640,10,8.4,RWD,Manual,3277
Subaru BRZ Limited 2dr,25,34,Gas,151,200,4,2.0,RWD,Auto,2822
Subaru BRZ Limited 2d,22,30,Gas,151,200,4,2.0,RWD,Manual,2776
Subaru BRZ Premium 2d,22,30,Gas,151,200,4,2.0,RWD,Manual,2762
Subaru Impreza WRX STI AWD 4d,17,23,Gas,290,305,4,2.5,AWD,Manual,3384
Subaru Impreza WRX STI AWD 4dr hatc,17,23,Gas,290,305,4,2.5,AWD,Manual,3373
Subaru Impreza WRX STI Limited AWD 4d,17,23,Gas,290,305,4,2.5,AWD,Manual,3417
Acura MDX,20,28,Gas,267,290,6,3.5,FWD,Auto,4025
Acura MDX AWD,18,27,Gas,267,290,6,3.5,AWD,Auto,4255
Acura MDX AWD w/Advance & Entertainment Pk,18,27,Gas,267,290,6,3.5,AWD,Auto,4332
Acura MDX AWD w/Technology & Entertainment Pk,18,27,Gas,267,290,6,3.5,AWD,Auto,4294
Acura MDX AWD w/Technology Pk,18,27,Gas,267,290,6,3.5,AWD,Auto,4270
Acura MDX w/Advance & Entertainment Pk,20,28,Gas,267,290,6,3.5,FWD,Auto,4103
Acura MDX w/Technology & Entertainment Pk,20,28,Gas,267,290,6,3.5,FWD,Auto,4063
Acura MDX w/Technology Pk,20,28,Gas,267,290,6,3.5,FWD,Auto,4041
Audi Q7 3.0T Premium Plus Quattro AW,16,22,Gas,295,280,6,3.0,AWD,Auto,5292
Audi Q7 3.0T Premium Quattro AW,16,22,Gas,295,280,6,3.0,AWD,Auto,5292
Audi Q7 3.0T S line Prestige Quattro AW,16,22,Gas,325,333,6,3.0,AWD,Auto,5412
Audi Q7 TDI Premium Plus Quattro AW,19,28,Diesel,406,240,6,3.0,AWD,Auto,5412
Audi Q7 TDI Premium Quattro AW,19,28,Diesel,406,240,6,3.0,AWD,Auto,5412
Audi Q7 TDI Prestige Quattro AW,19,28,Diesel,406,240,6,3.0,AWD,Auto,5412
BMW X6 M xDrive AW,13,17,Gas,500,555,8,4.4,AWD,Auto,5324
BMW X6 xDrive35i AWD,17,24,Gas,300,300,6,3.0,AWD,Auto,4784
BMW X6 xDrive50i AWD,14,21,Gas,450,400,8,4.4,AWD,Auto,5225
Buick Enclave Convenience,17,24,Gas,270,288,6,3.6,FWD,Auto,4724
Buick Enclave Convenience AWD,16,22,Gas,270,288,6,3.6,AWD,Auto,4922
Buick Enclave Leather,17,24,Gas,270,288,6,3.6,FWD,Auto,4724
Buick Enclave Leather AWD,16,22,Gas,270,288,6,3.6,AWD,Auto,4922
Buick Enclave Premium,17,24,Gas,270,288,6,3.6,FWD,Auto,4724
Buick Enclave Premium AWD,16,22,Gas,270,288,6,3.6,AWD,Auto,4922
Chevrolet Traverse LS,17,24,Gas,266,281,6,3.6,FWD,Auto,4647
Chevrolet Traverse LS AWD,16,23,Gas,266,281,6,3.6,AWD,Auto,4841
Chevrolet Traverse LT AWD w/1L,16,23,Gas,266,281,6,3.6,AWD,Auto,4841
Chevrolet Traverse LT AWD w/2L,16,23,Gas,266,281,6,3.6,AWD,Auto,4841
Chevrolet Traverse LT w/1L,17,24,Gas,266,281,6,3.6,FWD,Auto,4647
Chevrolet Traverse LT w/2L,17,24,Gas,266,281,6,3.6,FWD,Auto,4647
Chevrolet Traverse LTZ,17,24,Gas,270,288,6,3.6,FWD,Auto,4647
Chevrolet Traverse LTZ AWD,16,23,Gas,270,288,6,3.6,AWD,Auto,4841
Dodge Durango Citadel,18,25,Gas,390,360,8,5.7,FWD,Auto,4905
Dodge Durango Citadel AW,17,24,Gas,390,360,8,5.7,AWD,Auto,5097
Dodge Durango Limited,18,25,Gas,390,360,8,5.7,FWD,Auto,4838
Dodge Durango Limited AW,17,24,Gas,390,360,8,5.7,AWD,Auto,4987
Dodge Durango R/T,14,23,Gas,390,360,8,5.7,FWD,Auto,5133
Dodge Durango R/T AWD,14,22,Gas,390,360,8,5.7,AWD,Auto,5331
Dodge Durango SXT,18,25,Flexible Fuel,260,290,6,3.6,FWD,Auto,4756
Dodge Durango SXT AW,17,24,Flexible Fuel,260,290,6,3.6,AWD,Auto,4913
Dodge Journey AV,19,26,Gas,166,173,4,2.4,FWD,Auto,3818
Dodge Journey Limited,17,25,Flexible Fuel,260,283,6,3.6,FWD,Auto,4054
Dodge Journey Limited AWD,16,24,Gas,260,283,6,3.6,AWD,Auto,4238
Dodge Journey R/T,17,25,Flexible Fuel,260,283,6,3.6,FWD,Auto,4054
Dodge Journey R/T AWD,16,24,Gas,260,283,6,3.6,AWD,Auto,4238
Dodge Journey SE,19,26,Gas,166,173,4,2.4,FWD,Auto,3818
Dodge Journey SXT,19,26,Gas,260,283,6,3.6,FWD,Auto,3818
Ford Explorer,17,24,Gas,270,290,6,3.5,FWD,Auto,4534
Ford Explorer 4WD,16,22,Gas,255,290,6,3.5,4WD,Auto,4697
Ford Explorer Limited,17,24,Gas,270,290,6,3.5,FWD,Auto,4534
Ford Explorer Limited 4WD,16,22,Gas,255,290,6,3.5,4WD,Auto,4697
Ford Explorer Sport 4WD,16,22,Gas,350,365,6,3.5,4WD,Auto,4697
Ford Explorer XLT,17,24,Gas,270,290,6,3.5,FWD,Auto,4534
Ford Explorer XLT 4WD,16,22,Gas,255,290,6,3.5,4WD,Auto,4697
Ford Flex EcoBoost Limited AW,16,23,Gas,350,365,6,3.5,AWD,Auto,4828
Ford Flex Limited,18,25,Gas,254,287,6,3.5,FWD,Auto,4439
Ford Flex Limited AWD,17,23,Gas,254,287,6,3.5,AWD,Auto,4637
Ford Flex SE,18,25,Gas,254,287,6,3.5,FWD,Auto,4439
Ford Flex SEL,18,25,Gas,254,287,6,3.5,FWD,Auto,4439
GMC Acadia Denali,17,24,Gas,270,288,6,3.6,FWD,Auto,4656
GMC Acadia Denali AWD,16,23,Gas,270,288,6,3.6,AWD,Auto,4850
GMC Acadia SLE-1,17,24,Gas,270,288,6,3.6,FWD,Auto,4656
GMC Acadia SLE-1 AWD,16,23,Gas,270,288,6,3.6,AWD,Auto,4850
GMC Acadia SLE-2,17,24,Gas,270,288,6,3.6,FWD,Auto,4656
GMC Acadia SLE-2 AWD,16,23,Gas,270,288,6,3.6,AWD,Auto,4850
GMC Acadia SLT-1,17,24,Gas,270,288,6,3.6,FWD,Auto,4656
GMC Acadia SLT-1 AWD,16,23,Gas,270,288,6,3.6,AWD,Auto,4850
Honda Crosstour EX,22,31,Gas,162,192,4,2.4,FWD,Auto,3703
Honda Crosstour EX-L,22,31,Gas,162,192,4,2.4,FWD,Auto,3730
Honda Crosstour EX-L 4WD,19,28,Gas,252,278,6,3.5,4WD,Auto,3934
Honda Crosstour EX-L 4WD w/Navigatio,19,28,Gas,252,278,6,3.5,4WD,Auto,3934
Honda Crosstour EX-L w/Navigatio,22,31,Gas,162,192,4,2.4,FWD,Auto,3730
Honda Crosstour V6 EX,20,30,Gas,252,278,6,3.5,FWD,Auto,3917
Honda Crosstour V6 EX-L,20,30,Gas,252,278,6,3.5,FWD,Auto,3928
Honda Crosstour V6 EX-L w/Navigatio,20,30,Gas,252,278,6,3.5,FWD,Auto,3928
Hyundai Santa Fe GLS,18,25,Gas,252,290,6,3.3,FWD,Auto,3933
Hyundai Santa Fe GLS AWD,18,24,Gas,252,290,6,3.3,AWD,Auto,4085
Hyundai Santa Fe Limited,18,25,Gas,252,290,6,3.3,FWD,Auto,3904
Hyundai Santa Fe Limited AWD,18,24,Gas,252,290,6,3.3,AWD,Auto,4297
Hyundai Santa Fe Limited AWD w/Saddle Interior Colo,18,24,Gas,252,290,6,3.3,AWD,Auto,4297
Hyundai Santa Fe Limited w/Saddle Interior Colo,18,25,Gas,252,290,6,3.3,FWD,Auto,3904
Infiniti QX60,20,26,Gas,248,265,6,3.5,FWD,Auto,4280
Infiniti QX60 AWD,19,25,Gas,248,265,6,3.5,AWD,Auto,4419
Infiniti QX60 Hybri,25,28,Hybrid,243,250,4,2.5,FWD,Auto,4485
Infiniti QX60 Hybrid AWD,26,28,Hybrid,243,250,4,2.5,AWD,Auto,4485
Land Rover Range Rover 4W,17,23,Gas,332,340,6,3.0,4WD,Auto,4918
Land Rover Range Rover Autobiography 4WD,13,19,Gas,461,510,8,5.0,4WD,Auto,5137
Land Rover Range Rover HSE 4WD,17,23,Gas,332,340,6,3.0,4WD,Auto,4918
Land Rover Range Rover Supercharged 4WD,13,19,Gas,461,510,8,5.0,4WD,Auto,5137
Lincoln MKT,17,25,Gas,278,303,6,3.7,FWD,Auto,4702
Lincoln MKT EcoBoost AWD,16,23,Gas,350,365,6,3.5,AWD,Auto,4942
Mazda CX-9 Grand Touring,17,24,Gas,270,273,6,3.7,FWD,Auto,4323
Mazda CX-9 Grand Touring AWD,16,22,Gas,270,273,6,3.7,AWD,Auto,4559
Mazda CX-9 Sport,17,24,Gas,270,273,6,3.7,FWD,Auto,4323
Mazda CX-9 Sport AWD,16,22,Gas,270,273,6,3.7,AWD,Auto,4559
Mazda CX-9 Touring,17,24,Gas,270,273,6,3.7,FWD,Auto,4323
Mazda CX-9 Touring AWD,16,22,Gas,270,273,6,3.7,AWD,Auto,4559
Mercedes-Benz GL350 BlueTEC 4MATIC AWD,19,26,Diesel,455,240,6,3.0,AWD,Auto,5467
Mercedes-Benz GL450 4MATIC AWD,14,19,Gas,406,362,8,4.6,AWD,Auto,5401
Mercedes-Benz GL550 4MATIC AWD,13,18,Gas,516,429,8,4.6,AWD,Auto,5578
Mercedes-Benz GL63 4MATIC AWD,13,17,Gas,560,550,8,5.5,AWD,Auto,5687
Nissan Pathfinder Platinum,20,26,Gas,240,260,6,3.5,FWD,Auto,4345
Nissan Pathfinder Platinum 4WD,19,25,Gas,240,260,6,3.5,4WD,Auto,4486
Nissan Pathfinder Platinum Hybri,25,28,Hybrid,243,230,4,2.5,FWD,Auto,4573
Nissan Pathfinder Platinum Hybrid 4WD,25,27,Hybrid,243,230,4,2.5,4WD,Auto,4714
Nissan Pathfinder S,20,26,Gas,240,260,6,3.5,FWD,Auto,4168
Nissan Pathfinder S 4WD,19,25,Gas,240,260,6,3.5,4WD,Auto,4309
Nissan Pathfinder SL,20,26,Gas,240,260,6,3.5,FWD,Auto,4223
Nissan Pathfinder SL 4WD,19,25,Gas,240,260,6,3.5,4WD,Auto,4364
Nissan Pathfinder SL Hybri,25,28,Hybrid,243,230,4,2.5,FWD,Auto,4451
Nissan Pathfinder SL Hybrid 4WD,25,27,Hybrid,243,230,4,2.5,4WD,Auto,4592
Nissan Pathfinder SV,20,26,Gas,240,260,6,3.5,FWD,Auto,4189
Nissan Pathfinder SV 4WD,19,25,Gas,240,260,6,3.5,4WD,Auto,4330
Nissan Pathfinder SV Hybri,25,28,Hybrid,243,230,4,2.5,FWD,Auto,4417
Nissan Pathfinder SV Hybrid 4WD,25,27,Hybrid,243,230,4,2.5,4WD,Auto,4558
Acura RDX,20,28,Gas,251,273,6,3.5,FWD,Auto,3717
Acura RDX AWD,19,27,Gas,251,273,6,3.5,AWD,Auto,3838
Acura RDX AWD w/Technology Pk,19,27,Gas,251,273,6,3.5,AWD,Auto,3852
Acura RDX w/Technology Pk,20,28,Gas,251,273,6,3.5,FWD,Auto,3732
Audi Q5 2.0T Premium Plus Quattro AW,20,28,Gas,258,220,4,2.0,AWD,Auto,4079
Audi Q5 2.0T Premium Quattro AW,20,28,Gas,258,220,4,2.0,AWD,Auto,4079
Audi Q5 Hybrid Prestige Quattro AW,24,30,Hybrid,350,245,4,2.0,AWD,Auto,4431
Audi Q5 TDI Premium Plus Quattro AW,24,31,Diesel,428,240,6,3.0,AWD,Auto,4475
Audi Q5 TDI Prestige Quattro AW,24,31,Diesel,428,240,6,3.0,AWD,Auto,4475
Audi SQ5 Premium Plus Quattro AW,16,23,Gas,347,354,6,3.0,AWD,Auto,4409
Audi SQ5 Prestige Quattro AW,16,23,Gas,347,354,6,3.0,AWD,Auto,4409
BMW X1 sDrive28i RWD,23,34,Gas,260,240,4,2.0,RWD,Auto,3527
BMW X1 xDrive28i AWD,22,33,Gas,260,240,4,2.0,AWD,Auto,3726
BMW X1 xDrive35i AWD,18,27,Gas,300,300,6,3.0,AWD,Auto,3891
BMW X3 xDrive28i AWD,21,28,Gas,260,240,4,2.0,AWD,Auto,4068
BMW X3 xDrive35i AWD,19,26,Gas,300,300,6,3.0,AWD,Auto,4222
Buick Encore,25,33,Gas,148,138,4,1.4,FWD,Auto,3190
Buick Encore AWD,23,30,Gas,148,138,4,1.4,AWD,Auto,3309
Buick Encore Convenience,25,33,Gas,148,138,4,1.4,FWD,Auto,3190
Buick Encore Convenience AWD,23,30,Gas,148,138,4,1.4,AWD,Auto,3309
Buick Encore Leather,25,33,Gas,148,138,4,1.4,FWD,Auto,3190
Buick Encore Leather AWD,23,30,Gas,148,138,4,1.4,AWD,Auto,3309
Buick Encore Premium,25,33,Gas,148,138,4,1.4,FWD,Auto,3190
Buick Encore Premium AWD,23,30,Gas,148,138,4,1.4,AWD,Auto,3309
Ford Escape S,22,31,Gas,170,168,4,2.5,FWD,Auto,3515
Ford Escape SE,23,32,Gas,270,240,4,2.0,FWD,Auto,3502
Ford Escape SE 4WD,22,30,Gas,270,240,4,2.0,4WD,Auto,3645
Ford Escape Titanium,23,32,Gas,270,240,4,2.0,FWD,Auto,3502
Ford Escape Titanium 4WD,22,30,Gas,270,240,4,2.0,4WD,Auto,3645
Honda CR-V EX,23,31,Gas,163,185,4,2.4,FWD,Auto,3365
Honda CR-V EX AWD,22,30,Gas,163,185,4,2.4,AWD,Auto,3490
Honda CR-V EX-L,23,31,Gas,163,185,4,2.4,FWD,Auto,3408
Honda CR-V EX-L AWD,22,30,Gas,163,185,4,2.4,AWD,Auto,3529
Honda CR-V EX-L AWD w/Navigatio,22,30,Gas,163,185,4,2.4,AWD,Auto,3545
Honda CR-V EX-L AWD w/Rear Seat Entertainmen,22,30,Gas,163,185,4,2.4,AWD,Auto,3545
Honda CR-V EX-L w/Navigatio,23,31,Gas,163,185,4,2.4,FWD,Auto,3424
Honda CR-V EX-L w/Rear Seat Entertainmen,23,31,Gas,163,185,4,2.4,FWD,Auto,3424
Honda CR-V LX,23,31,Gas,163,185,4,2.4,FWD,Auto,3305
Honda CR-V LX AWD,22,30,Gas,163,185,4,2.4,AWD,Auto,3426
Hyundai Tucson GLS,23,29,Gas,151,164,4,2.0,FWD,Auto,3232
Hyundai Tucson GLS AWD,21,25,Gas,151,164,4,2.0,AWD,Auto,3373
Hyundai Tucson Limited,21,28,Gas,177,182,4,2.4,FWD,Auto,3294
Hyundai Tucson Limited AWD,20,25,Gas,177,182,4,2.4,AWD,Auto,3439
Hyundai Tucson Limited AWD (PZEV,20,25,Gas,176,180,4,2.4,AWD,Auto,3439
Hyundai Tucson SE,21,28,Gas,177,182,4,2.4,FWD,Auto,3294
Hyundai Tucson SE AWD,20,25,Gas,177,182,4,2.4,AWD,Auto,3439
Hyundai Tucson SE AWD (PZEV,20,25,Gas,176,180,4,2.4,AWD,Auto,3439
Jeep Compass Spor,23,30,Gas,165,172,4,2.4,FWD,Manual,3097
Jeep Compass Sport 4W,23,28,Gas,165,172,4,2.4,4WD,Manual,3260
Jeep Compass Sport Altitude Edition,22,27,Gas,141,158,4,2.0,FWD,Auto,3097
Jeep Patriot Spor,23,30,Gas,165,172,4,2.4,FWD,Manual,3136
Jeep Patriot Sport 4W,23,28,Gas,165,172,4,2.4,4WD,Manual,3293
Jeep Patriot Sport Altitude Edition,22,27,Gas,141,158,4,2.0,FWD,Auto,3136
Kia Sportage EX,21,28,Gas,177,182,4,2.4,FWD,Auto,3426
Kia Sportage EX AWD,19,26,Gas,177,182,4,2.4,AWD,Auto,3571
Kia Sportage LX,21,28,Gas,177,182,4,2.4,FWD,Auto,3426
Kia Sportage LX AWD,19,26,Gas,177,182,4,2.4,AWD,Auto,3571
Kia Sportage SX,20,26,Gas,269,260,4,2.0,FWD,Auto,3512
Kia Sportage SX AWD,19,24,Gas,269,260,4,2.0,AWD,Auto,3664
Land Rover LR,17,24,Gas,250,240,4,2.0,4WD,Auto,4080
Land Rover Range Rover Evoque Dynamic 4WD 2d,21,30,Gas,250,240,4,2.0,4WD,Auto,3680
Mazda CX-5 Grand Touring,25,32,Gas,185,184,4,2.5,FWD,Auto,3375
Mazda CX-5 Grand Touring AWD,24,30,Gas,185,184,4,2.5,AWD,Auto,3532
Mazda CX-5 Sport,26,32,Gas,150,155,4,2.0,FWD,Auto,3263
Mazda CX-5 Spor,26,35,Gas,150,155,4,2.0,FWD,Manual,3194
Mazda CX-5 Sport AWD,25,31,Gas,150,155,4,2.0,AWD,Auto,3415
Mazda CX-5 Touring,25,32,Gas,185,184,4,2.5,FWD,Auto,3375
Mazda CX-5 Touring AWD,24,30,Gas,185,184,4,2.5,AWD,Auto,3532
Mercedes-Benz GLK 250 BlueTec 4Matic AW,24,33,Diesel,369,195,4,2.1,AWD,Auto,4409
Mercedes-Benz GLK350 4MATIC AWD,19,25,Gas,273,302,6,3.5,AWD,Auto,4123
Mercedes-Benz GLK350 RWD,19,26,Gas,273,302,6,3.5,RWD,Auto,4068
Mitsubishi Outlander ES,25,31,Gas,162,166,4,2.4,FWD,Auto,3274
Mitsubishi Outlander GT 4WD,20,28,Gas,214,224,6,3.0,4WD,Auto,3571
Mitsubishi Outlander SE,25,31,Gas,162,166,4,2.4,FWD,Auto,3296
Mitsubishi Outlander SE 4WD,24,29,Gas,162,166,4,2.4,4WD,Auto,3461
Mitsubishi Outlander Sport ES,24,31,Gas,145,148,4,2.0,FWD,Auto,3087
Mitsubishi Outlander Sport E,24,30,Gas,145,148,4,2.0,FWD,Manual,3021
Mitsubishi Outlander Sport ES 4WD,24,29,Gas,145,148,4,2.0,4WD,Auto,3230
Mitsubishi Outlander Sport SE,24,31,Gas,145,148,4,2.0,FWD,Auto,3120
Mitsubishi Outlander Sport SE 4WD,24,29,Gas,145,148,4,2.0,4WD,Auto,3263
Nissan Juke Nismo (Late Availability),25,31,Gas,184,197,4,1.6,FWD,Manual,2930
Nissan Juke Nismo AWD (Late Availability,25,30,Gas,184,197,4,1.6,AWD,Auto,3168
Nissan Juke S,27,32,Gas,177,188,4,1.6,FWD,Auto,2959
Nissan Juke S AWD,25,30,Gas,177,188,4,1.6,AWD,Auto,3146
Nissan Juke SL,27,32,Gas,177,188,4,1.6,FWD,Auto,3007
Nissan Juke SL AWD,25,30,Gas,177,188,4,1.6,AWD,Auto,3208
Nissan Juke SV,27,32,Gas,177,188,4,1.6,FWD,Auto,2981
Nissan Juke SV,25,31,Gas,177,188,4,1.6,FWD,Manual,2912
Nissan Juke SV AWD,25,30,Gas,177,188,4,1.6,AWD,Auto,3172
Nissan Rogue S,26,33,Gas,175,170,4,2.5,FWD,Auto,3292
Nissan Rogue S AWD,22,27,Gas,175,170,4,2.5,AWD,Auto,3446
Nissan Rogue SL,26,33,Gas,175,170,4,2.5,FWD,Auto,3529
Nissan Rogue SV,26,33,Gas,175,170,4,2.5,FWD,Auto,3327
Nissan Rogue SV AWD,22,27,Gas,175,170,4,2.5,AWD,Auto,3479
Subaru Forester 2.0XT Premium,23,28,Gas,258,250,4,2.0,AWD,Auto,3622
Subaru Forester 2.0XT Touring,23,28,Gas,258,250,4,2.0,AWD,Auto,3622
Subaru Forester 2.5i,24,32,Gas,174,170,4,2.5,AWD,Auto,3366
Subaru Forester 2.5,22,29,Gas,174,170,4,2.5,AWD,Manual,3296
Subaru Forester 2.5i Limited,24,32,Gas,174,170,4,2.5,AWD,Auto,3366
Subaru Forester 2.5i Premium,24,32,Gas,174,170,4,2.5,AWD,Auto,3366
Subaru Forester 2.5i Premiu,22,29,Gas,174,170,4,2.5,AWD,Manual,3296
Subaru Forester 2.5i Touring,24,32,Gas,174,170,4,2.5,AWD,Auto,3366
Subaru XV Crosstrek Limited AWD,25,33,Gas,145,148,4,2.0,AWD,Auto,3230
Subaru XV Crosstrek Premium AWD,25,33,Gas,145,148,4,2.0,AWD,Auto,3208
Subaru XV Crosstrek Premium AW,23,30,Gas,145,148,4,2.0,AWD,Manual,3098
Toyota RAV4 L,24,31,Gas,172,176,4,2.5,FWD,Auto,3435
Toyota RAV4 LE AW,22,29,Gas,172,176,4,2.5,AWD,Auto,3550
Toyota RAV4 Limite,24,31,Gas,172,176,4,2.5,FWD,Auto,3500
Toyota RAV4 Limited AW,22,29,Gas,172,176,4,2.5,AWD,Auto,3610
Toyota RAV4 XL,24,31,Gas,172,176,4,2.5,FWD,Auto,3465
Toyota RAV4 XLE AW,22,29,Gas,172,176,4,2.5,AWD,Auto,3585
Volkswagen Tiguan R-Line,21,26,Gas,207,200,4,2.0,FWD,Auto,3404
Volkswagen Tiguan R-Line 4Motion AWD,20,26,Gas,207,200,4,2.0,AWD,Auto,3591
Volkswagen Tiguan ,18,26,Gas,207,200,4,2.0,FWD,Manual,3393
Volkswagen Tiguan S 4Motion AWD,20,26,Gas,207,200,4,2.0,AWD,Auto,3591
Volkswagen Tiguan SE,21,26,Gas,207,200,4,2.0,FWD,Auto,3404
Volkswagen Tiguan SE 4Motion AWD,20,26,Gas,207,200,4,2.0,AWD,Auto,3591
Volkswagen Tiguan SE 4Motion AWD w/Appearance Pk,20,26,Gas,207,200,4,2.0,AWD,Auto,3591
Volkswagen Tiguan SE w/Appearance Pk,21,26,Gas,207,200,4,2.0,FWD,Auto,3404
Volkswagen Tiguan SEL,21,26,Gas,207,200,4,2.0,FWD,Auto,3404
Volkswagen Tiguan SEL 4Motion AWD,20,26,Gas,207,200,4,2.0,AWD,Auto,3591
Volvo XC60 3.2,18,26,Gas,236,240,6,3.2,FWD,Auto,3958
Volvo XC60 3.2 Platinum,18,26,Gas,236,240,6,3.2,FWD,Auto,4012
Volvo XC60 3.2 Premier,18,26,Gas,236,240,6,3.2,FWD,Auto,4012
Volvo XC60 3.2 Premier Plus,18,26,Gas,236,240,6,3.2,FWD,Auto,4012
Volvo XC60 T6 AWD,17,24,Gas,325,300,6,3.0,AWD,Auto,4225
Volvo XC60 T6 Platinum AWD,17,24,Gas,325,300,6,3.0,AWD,Auto,4225
Volvo XC60 T6 Premier Plus AWD,17,24,Gas,325,300,6,3.0,AWD,Auto,4225
Volvo XC60 T6 R-Design AWD,17,24,Gas,354,325,6,3.0,AWD,Auto,4225
Volvo XC60 T6 R-Design Platinum AWD,17,24,Gas,354,325,6,3.0,AWD,Auto,4225
Volvo XC60 T6 R-Design Premier Plus AWD,17,24,Gas,354,325,6,3.0,AWD,Auto,4225
Acura RLX 4dr w/Advance Pk,20,31,Gas,272,310,6,3.5,FWD,Auto,3997
Acura RLX 4dr w/Krell Audio Pk,20,31,Gas,272,310,6,3.5,FWD,Auto,3981
Acura RLX 4dr w/Navigatio,20,31,Gas,272,310,6,3.5,FWD,Auto,3981
Acura RLX 4dr w/Technology Pk,20,31,Gas,272,310,6,3.5,FWD,Auto,3955
Audi A5 Premium Plus Quattro AWD convertibl,20,29,Gas,258,220,4,2.0,AWD,Auto,4045
Audi A5 Prestige convertible,24,32,Gas,258,220,4,2.0,FWD,Auto,3880
Audi A5 Prestige Quattro AWD 2d,20,29,Gas,258,220,4,2.0,AWD,Auto,3682
Audi A5 Prestige Quattro AWD convertibl,20,29,Gas,258,220,4,2.0,AWD,Auto,4045
Audi A6 2.0T Premium Plus Quattro AWD 4d,20,29,Gas,258,220,4,2.0,AWD,Auto,3957
Audi A6 3.0T Premium Plus Quattro AWD 4d,18,27,Gas,325,310,6,3.0,AWD,Auto,4101
Audi A6 3.0T Prestige Quattro AWD 4d,18,27,Gas,325,310,6,3.0,AWD,Auto,4101
Audi A7 Premium Plus Quattro 4dr hatc,18,28,Gas,325,310,6,3.0,AWD,Auto,4210
Audi A7 Prestige Quattro 4dr hatc,18,28,Gas,325,310,6,3.0,AWD,Auto,4210
Audi A7 TDI Premium Plus Quattro AWD 4dr hatc,24,38,Diesel,428,240,6,3.0,AWD,Auto,4266
Audi A7 TDI Prestige Quattro AWD 4dr hatc,24,38,Diesel,428,240,6,3.0,AWD,Auto,4266
