"make_model","city_mpg","hwy_mpg","eng_type","torque","hp","cyl","displacement","drivetrain","transmission","weight"
Mini Cooper Paceman John Cooper Works ALL4 AWD 2dr hatc,25,31,Gas,207,208,4,1.6,AWD,Manual,3260
Nissan Altima 3.5 SL 4dr,22,31,Gas,251,270,6,3.5,FWD,Auto,3422
Nissan Maxima S 4dr,19,26,Gas,261,290,6,3.5,FWD,Auto,3550
Nissan Maxima SV 4dr,19,26,Gas,261,290,6,3.5,FWD,Auto,3570
Subaru Impreza WRX Limited AWD 4d,19,25,Gas,244,265,4,2.5,AWD,Manual,3252
Subaru Impreza WRX Limited AWD 4dr hatc,19,25,Gas,244,265,4,2.5,AWD,Manual,3252
Toyota Avalon 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3461
Toyota Avalon Premium 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3461
Toyota Avalon Premium Hybrid 4dr,40,39,Hybrid,156,200,4,2.5,FWD,Auto,3594
Toyota Avalon Touring 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3505
Toyota Avalon Touring Hybrid 4dr,40,39,Hybrid,156,200,4,2.5,FWD,Auto,3594
Toyota Camry V6 XLE 4dr,21,31,Gas,248,268,6,3.5,FWD,Auto,3395
Toyota Prius Five 4dr hatch,51,48,Hybrid,105,98,4,1.8,FWD,Auto,3042
Toyota Prius Plug-in 4dr hatch (Limited Availability,51,49,Hybrid,105,98,4,1.8,FWD,Auto,3165
Toyota Prius Plug-in Advanced 4dr hatch (Limited Availability,51,49,Hybrid,105,98,4,1.8,FWD,Auto,3165
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof Sound & Navigation,24,30,Gas,207,210,4,2.0,FWD,Auto,3104
Volkswagen Beetle R-Line 2dr hatch w/Sun Roof Sound & Navigatio,23,31,Gas,207,210,4,2.0,FWD,Manual,3056
Volkswagen Beetle R-Line convertible,23,29,Gas,207,210,4,2.0,FWD,Auto,3278
Volkswagen Beetle R-Line convertible w/Sound,23,29,Gas,207,210,4,2.0,FWD,Auto,3278
Volkswagen Beetle R-Line convertible w/Soun,23,31,Gas,207,210,4,2.0,FWD,Manual,3238
Volkswagen Beetle R-Line convertible w/Sound & Navigation,23,29,Gas,207,210,4,2.0,FWD,Auto,3278
Volkswagen Beetle R-Line convertible w/Sound & Navigatio,23,31,Gas,207,210,4,2.0,FWD,Manual,3238
Volkswagen Beetle TDI convertible,28,37,Diesel,236,140,4,2.0,FWD,Auto,3340
Volkswagen Beetle TDI convertible w/Sound & Navigation,28,37,Diesel,236,140,4,2.0,FWD,Auto,3340
Volkswagen Beetle TDI convertible w/Sound & Navigatio,28,41,Diesel,236,140,4,2.0,FWD,Manual,3296
Volkswagen CC Executive 4dr,22,31,Gas,207,200,4,2.0,FWD,Auto,3369
Volkswagen CC R-Line 4dr,22,31,Gas,207,200,4,2.0,FWD,Auto,3369
Volkswagen CC R-Line 4dr,21,32,Gas,207,200,4,2.0,FWD,Manual,3358
Volkswagen CC Sport 4dr,22,31,Gas,207,200,4,2.0,FWD,Auto,3369
Volkswagen CC Sport 4dr,21,32,Gas,207,200,4,2.0,FWD,Manual,3358
Volkswagen Eos Komfort convertible,22,30,Gas,207,200,4,2.0,FWD,Auto,3508
Volkswagen Eos Sport convertible,22,30,Gas,207,200,4,2.0,FWD,Auto,3508
Volkswagen GTI Driver's Edition 4dr hatch,24,32,Gas,207,200,4,2.0,FWD,Auto,3160
Volkswagen GTI Driver's Edition 4dr hatch,21,31,Gas,207,200,4,2.0,FWD,Manual,3113
Volkswagen Jetta GLI Autobahn 4dr w/Navigatio,24,32,Gas,207,210,4,2.0,FWD,Auto,3169
Volkswagen Jetta Hybrid SEL 4dr,42,48,Hybrid,184,150,4,1.4,FWD,Auto,3312
Volkswagen Jetta Hybrid SEL Premium 4dr,42,48,Hybrid,184,150,4,1.4,FWD,Auto,3312
Volkswagen Passat SEL Premium 4dr,24,34,Gas,184,170,4,1.8,FWD,Auto,3230
Volkswagen Passat TDI SE 4dr w/Moon Roof & Navigatio,30,40,Diesel,236,140,4,2.0,FWD,Auto,3459
Volkswagen Passat TDI SEL Premium 4dr,30,40,Diesel,236,140,4,2.0,FWD,Auto,3459
Volkswagen Passat V6 SE 4dr w/Moon Roo,20,28,Gas,258,280,6,3.6,FWD,Auto,3481
Volkswagen Passat V6 SEL Premium 4dr,20,28,Gas,258,280,6,3.6,FWD,Auto,3481
Volvo S60 T5 4dr,21,30,Gas,266,250,5,2.5,FWD,Auto,3528
Volvo S60 T5 Platinum 4dr,21,30,Gas,266,250,5,2.5,FWD,Auto,3528
Volvo S60 T5 Premier 4dr,21,30,Gas,266,250,5,2.5,FWD,Auto,3528
Volvo S60 T5 Premier Plus 4dr,21,30,Gas,266,250,5,2.5,FWD,Auto,3528
Buick Verano 4dr,21,32,Flexible Fuel,171,180,4,2.4,FWD,Auto,3300
Chevrolet Cruze 1LT 4dr w/1S,26,38,Gas,148,138,4,1.4,FWD,Auto,3102
Chevrolet Cruze 2LT 4dr w/1S,26,38,Gas,148,138,4,1.4,FWD,Manual,3102
Chevrolet Cruze 2LT 4dr w/1S,26,38,Gas,148,138,4,1.4,FWD,Auto,3102
Chevrolet Cruze eco 4dr w/1S,28,42,Gas,148,138,4,1.4,FWD,Manual,3097
Chevrolet Cruze eco 4dr w/1S,26,39,Gas,148,138,4,1.4,FWD,Auto,3097
Chevrolet Cruze LTZ 4dr w/1S,26,38,Gas,148,138,4,1.4,FWD,Auto,3097
Chevrolet Malibu LS 4dr w/1L,25,36,Gas,191,197,4,2.5,FWD,Auto,3393
Chevrolet Malibu LT 4dr w/1L,25,36,Gas,191,197,4,2.5,FWD,Auto,3393
Chevrolet Sonic LTZ 4dr hatch,25,35,Gas,148,138,4,1.8,FWD,Auto,2776
Chevrolet Sonic RS 4dr hatch,25,33,Gas,148,138,4,1.4,FWD,Auto,2811
Chevrolet Sonic RS 4dr hatc,27,34,Gas,148,138,4,1.4,FWD,Manual,2811
Chrysler 200 LX 4dr,19,29,Flexible Fuel,260,283,6,3.6,FWD,Auto,3402
Chrysler 200 Touring 4dr,20,31,Gas,260,283,6,3.6,FWD,Auto,3402
Dodge Avenger SE 4dr,21,30,Gas,260,283,6,3.6,FWD,Auto,3400
Dodge Avenger SXT 4dr,20,31,Gas,260,283,6,3.6,FWD,Auto,3607
Dodge Dart Aero 4d,28,41,Gas,184,160,4,1.4,FWD,Manual,3191
Dodge Dart GT 4d,23,33,Gas,171,184,4,2.4,FWD,Manual,3297
Dodge Dart Limited 4dr,23,35,Gas,171,184,4,2.4,FWD,Auto,3348
FIAT 500 Abarth 2dr hatc,28,34,Gas,170,160,4,1.4,FWD,Manual,2512
FIAT 500 Turbo 2dr hatc,28,34,Gas,150,135,4,1.4,FWD,Manual,2477
FIAT 500c Lounge convertibl,31,40,Gas,98,101,4,1.4,FWD,Manual,2411
FIAT 500c Pop convertibl,31,40,Gas,98,101,4,1.4,FWD,Manual,2411
FIAT 500L Easy 4dr hatc,25,33,Gas,184,160,4,1.4,FWD,Manual,3203
FIAT 500L Lounge 4dr hatch,24,33,Gas,184,160,4,1.4,FWD,Auto,3254
FIAT 500L Trekking 4dr hatc,25,33,Gas,184,160,4,1.4,FWD,Manual,3203
Ford Fiesta ST 4dr hatch (Late Availability,26,35,Gas,215,197,4,1.6,FWD,Manual,2720
Ford Focus ST 4dr hatc,23,32,Gas,270,252,4,2.0,FWD,Manual,3223
Ford Focus Titanium 4dr,26,37,Gas,146,160,4,2.0,FWD,Auto,3055
Ford Focus Titanium 4dr hatch,26,37,Gas,146,160,4,2.0,FWD,Auto,3043
Ford Fusion S 4dr,22,34,Gas,175,175,4,2.5,FWD,Auto,3427
